review_id,city,language,sentiment,source,label_source,review_text
1,,English,Negative,synthetic_template_generator,synthetic_template_label,Buyer confidence appears fragile because comparable pricing is difficult to justify. Administrative friction and legal opacity add execution risk. That combination weakens long term resale confidence.
2,,English,Negative,synthetic_template_generator,synthetic_template_label,"Buyer confidence appears fragile because comparable pricing is difficult to justify, and administrative friction and legal opacity add execution risk. This setup increases downside risk for investors."
3,,English,Negative,synthetic_template_generator,synthetic_template_label,Buyer confidence appears fragile because comparable pricing is difficult to justify. Administrative friction and legal opacity add execution risk. These conditions reduce the property's liquidity.
4,,English,Negative,synthetic_template_generator,synthetic_template_label,"Buyer confidence appears fragile because comparable pricing is difficult to justify, and administrative friction and legal opacity add execution risk. That profile makes the asset difficult to position."
5,,English,Negative,synthetic_template_generator,synthetic_template_label,Buyer confidence appears fragile because comparable pricing is difficult to justify. Administrative friction and legal opacity add execution risk. This context undermines pricing power.
6,,English,Negative,synthetic_template_generator,synthetic_template_label,"Buyer confidence appears fragile because comparable pricing is difficult to justify, and administrative friction and legal opacity add execution risk. These weaknesses can drag on exit value."
7,,English,Negative,synthetic_template_generator,synthetic_template_label,Buyer confidence appears fragile because comparable pricing is difficult to justify. Infrastructure gaps reduce everyday convenience. That combination weakens long term resale confidence.
8,,English,Negative,synthetic_template_generator,synthetic_template_label,"Buyer confidence appears fragile because comparable pricing is difficult to justify, and infrastructure gaps reduce everyday convenience. This setup increases downside risk for investors."
9,,English,Negative,synthetic_template_generator,synthetic_template_label,Buyer confidence appears fragile because comparable pricing is difficult to justify. Infrastructure gaps reduce everyday convenience. These conditions reduce the property's liquidity.
10,,English,Negative,synthetic_template_generator,synthetic_template_label,"Buyer confidence appears fragile because comparable pricing is difficult to justify, and infrastructure gaps reduce everyday convenience. That profile makes the asset difficult to position."
11,,English,Negative,synthetic_template_generator,synthetic_template_label,Buyer confidence appears fragile because comparable pricing is difficult to justify. Infrastructure gaps reduce everyday convenience. This context undermines pricing power.
12,,English,Negative,synthetic_template_generator,synthetic_template_label,"Buyer confidence appears fragile because comparable pricing is difficult to justify, and infrastructure gaps reduce everyday convenience. These weaknesses can drag on exit value."
13,,English,Negative,synthetic_template_generator,synthetic_template_label,Buyer confidence appears fragile because comparable pricing is difficult to justify. Road quality and service reliability remain below expectation. That combination weakens long term resale confidence.
14,,English,Negative,synthetic_template_generator,synthetic_template_label,"Buyer confidence appears fragile because comparable pricing is difficult to justify, and road quality and service reliability remain below expectation. This setup increases downside risk for investors."
15,,English,Negative,synthetic_template_generator,synthetic_template_label,Buyer confidence appears fragile because comparable pricing is difficult to justify. Road quality and service reliability remain below expectation. These conditions reduce the property's liquidity.
16,,English,Negative,synthetic_template_generator,synthetic_template_label,"Buyer confidence appears fragile because comparable pricing is difficult to justify, and road quality and service reliability remain below expectation. That profile makes the asset difficult to position."
17,,English,Negative,synthetic_template_generator,synthetic_template_label,Buyer confidence appears fragile because comparable pricing is difficult to justify. Road quality and service reliability remain below expectation. This context undermines pricing power.
18,,English,Negative,synthetic_template_generator,synthetic_template_label,"Buyer confidence appears fragile because comparable pricing is difficult to justify, and road quality and service reliability remain below expectation. These weaknesses can drag on exit value."
19,,English,Negative,synthetic_template_generator,synthetic_template_label,Buyer confidence appears fragile because comparable pricing is difficult to justify. Weak amenity access hurts residential appeal. That combination weakens long term resale confidence.
20,,English,Negative,synthetic_template_generator,synthetic_template_label,"Buyer confidence appears fragile because comparable pricing is difficult to justify, and weak amenity access hurts residential appeal. This setup increases downside risk for investors."
21,,English,Negative,synthetic_template_generator,synthetic_template_label,Buyer confidence appears fragile because comparable pricing is difficult to justify. Weak amenity access hurts residential appeal. These conditions reduce the property's liquidity.
22,,English,Negative,synthetic_template_generator,synthetic_template_label,"Buyer confidence appears fragile because comparable pricing is difficult to justify, and weak amenity access hurts residential appeal. That profile makes the asset difficult to position."
23,,English,Negative,synthetic_template_generator,synthetic_template_label,Buyer confidence appears fragile because comparable pricing is difficult to justify. Weak amenity access hurts residential appeal. This context undermines pricing power.
24,,English,Negative,synthetic_template_generator,synthetic_template_label,"Buyer confidence appears fragile because comparable pricing is difficult to justify, and weak amenity access hurts residential appeal. These weaknesses can drag on exit value."
25,,English,Negative,synthetic_template_generator,synthetic_template_label,Buyer confidence appears fragile because comparable pricing is difficult to justify. Transport limitations lower the neighborhood's competitiveness. That combination weakens long term resale confidence.
26,,English,Negative,synthetic_template_generator,synthetic_template_label,"Buyer confidence appears fragile because comparable pricing is difficult to justify, and transport limitations lower the neighborhood's competitiveness. This setup increases downside risk for investors."
27,,English,Negative,synthetic_template_generator,synthetic_template_label,Buyer confidence appears fragile because comparable pricing is difficult to justify. Transport limitations lower the neighborhood's competitiveness. These conditions reduce the property's liquidity.
28,,English,Negative,synthetic_template_generator,synthetic_template_label,"Buyer confidence appears fragile because comparable pricing is difficult to justify, and transport limitations lower the neighborhood's competitiveness. That profile makes the asset difficult to position."
29,,English,Negative,synthetic_template_generator,synthetic_template_label,Buyer confidence appears fragile because comparable pricing is difficult to justify. Transport limitations lower the neighborhood's competitiveness. This context undermines pricing power.
30,,English,Negative,synthetic_template_generator,synthetic_template_label,"Buyer confidence appears fragile because comparable pricing is difficult to justify, and transport limitations lower the neighborhood's competitiveness. These weaknesses can drag on exit value."
31,,English,Negative,synthetic_template_generator,synthetic_template_label,Buyer confidence appears fragile because comparable pricing is difficult to justify. Utility uncertainty makes the asset harder to defend. That combination weakens long term resale confidence.
32,,English,Negative,synthetic_template_generator,synthetic_template_label,"Buyer confidence appears fragile because comparable pricing is difficult to justify, and utility uncertainty makes the asset harder to defend. This setup increases downside risk for investors."
33,,English,Negative,synthetic_template_generator,synthetic_template_label,Buyer confidence appears fragile because comparable pricing is difficult to justify. Utility uncertainty makes the asset harder to defend. These conditions reduce the property's liquidity.
34,,English,Negative,synthetic_template_generator,synthetic_template_label,"Buyer confidence appears fragile because comparable pricing is difficult to justify, and utility uncertainty makes the asset harder to defend. That profile makes the asset difficult to position."
35,,English,Negative,synthetic_template_generator,synthetic_template_label,Buyer confidence appears fragile because comparable pricing is difficult to justify. Utility uncertainty makes the asset harder to defend. This context undermines pricing power.
36,,English,Negative,synthetic_template_generator,synthetic_template_label,"Buyer confidence appears fragile because comparable pricing is difficult to justify, and utility uncertainty makes the asset harder to defend. These weaknesses can drag on exit value."
37,,English,Negative,synthetic_template_generator,synthetic_template_label,Buyer confidence appears fragile as recent listings suggest weak conversion. Administrative friction and legal opacity add execution risk. That combination weakens long term resale confidence.
38,,English,Negative,synthetic_template_generator,synthetic_template_label,"Buyer confidence appears fragile as recent listings suggest weak conversion, and administrative friction and legal opacity add execution risk. This setup increases downside risk for investors."
39,,English,Negative,synthetic_template_generator,synthetic_template_label,Buyer confidence appears fragile as recent listings suggest weak conversion. Administrative friction and legal opacity add execution risk. These conditions reduce the property's liquidity.
40,,English,Negative,synthetic_template_generator,synthetic_template_label,"Buyer confidence appears fragile as recent listings suggest weak conversion, and administrative friction and legal opacity add execution risk. That profile makes the asset difficult to position."
41,,English,Negative,synthetic_template_generator,synthetic_template_label,Buyer confidence appears fragile as recent listings suggest weak conversion. Administrative friction and legal opacity add execution risk. This context undermines pricing power.
42,,English,Negative,synthetic_template_generator,synthetic_template_label,"Buyer confidence appears fragile as recent listings suggest weak conversion, and administrative friction and legal opacity add execution risk. These weaknesses can drag on exit value."
43,,English,Negative,synthetic_template_generator,synthetic_template_label,Buyer confidence appears fragile as recent listings suggest weak conversion. Infrastructure gaps reduce everyday convenience. That combination weakens long term resale confidence.
44,,English,Negative,synthetic_template_generator,synthetic_template_label,"Buyer confidence appears fragile as recent listings suggest weak conversion, and infrastructure gaps reduce everyday convenience. This setup increases downside risk for investors."
