sample_id,source,raw_text,clean_text,token_count,char_count,sentiment_label,language,label_source,group_id
m2_0000001,reviews_metadata_csv,Administrative and legal procedures lack transparency.,administrative and legal procedures lack transparency,6,53,negative,en,metadata_label,grp_896e0e4e8dcb
m2_0000002,reviews_metadata_csv,Déficiences d’infrastructure réduisant l’intérêt d’investissement.,déficiences d infrastructure réduisant l intérêt d investissement,8,65,negative,fr,metadata_label,grp_5839f0f5c3a4
m2_0000003,reviews_metadata_csv,Déficiences d’infrastructure réduisant l’intérêt d’investissement.,déficiences d infrastructure réduisant l intérêt d investissement,8,65,negative,fr,metadata_label,grp_5839f0f5c3a4
m2_0000004,reviews_metadata_csv,Infrastructure développée avec bon accès routier et services fiables.,infrastructure développée avec bon accès routier et services fiables,9,68,positive,fr,metadata_label,grp_5168f0b66e0c
m2_0000005,reviews_metadata_csv,Infrastructure acceptable mais nécessitant des améliorations.,infrastructure acceptable mais nécessitant des améliorations,6,60,neutral,fr,metadata_label,grp_8138e481cbda
m2_0000006,reviews_metadata_csv,Excellent investment potential with stable market demand and strong resale value.,excellent investment potential with stable market demand and strong resale value,11,80,positive,en,metadata_label,grp_94de22fc40bd
m2_0000007,reviews_metadata_csv,"Well-developed infrastructure, good road access, and reliable utilities.",well developed infrastructure good road access and reliable utilities,9,69,positive,en,metadata_label,grp_59435770ed71
m2_0000008,reviews_metadata_csv,Stable environment with balanced supply and demand.,stable environment with balanced supply and demand,7,50,neutral,en,metadata_label,grp_0563a3dc6e24
m2_0000009,reviews_metadata_csv,Zone résidentielle moyenne avec une demande modérée et prix stables.,zone résidentielle moyenne avec une demande modérée et prix stables,10,67,neutral,fr,metadata_label,grp_c8cf3b0b3e82
m2_0000010,reviews_metadata_csv,Déficiences d’infrastructure réduisant l’intérêt d’investissement.,déficiences d infrastructure réduisant l intérêt d investissement,8,65,negative,fr,metadata_label,grp_5839f0f5c3a4
m2_0000011,reviews_metadata_csv,Administrative and legal procedures lack transparency.,administrative and legal procedures lack transparency,6,53,negative,en,metadata_label,grp_896e0e4e8dcb
m2_0000012,reviews_metadata_csv,Administrative and legal procedures lack transparency.,administrative and legal procedures lack transparency,6,53,negative,en,metadata_label,grp_896e0e4e8dcb
m2_0000013,reviews_metadata_csv,Les prix reflètent les conditions actuelles du marché sans forte croissance.,les prix reflètent les conditions actuelles du marché sans forte croissance,11,75,neutral,fr,metadata_label,grp_4b29487b4260
m2_0000014,reviews_metadata_csv,Zone résidentielle moyenne avec une demande modérée et prix stables.,zone résidentielle moyenne avec une demande modérée et prix stables,10,67,neutral,fr,metadata_label,grp_c8cf3b0b3e82
m2_0000015,reviews_metadata_csv,Excellent investment potential with stable market demand and strong resale value.,excellent investment potential with stable market demand and strong resale value,11,80,positive,en,metadata_label,grp_94de22fc40bd
m2_0000016,reviews_metadata_csv,Administrative and legal procedures lack transparency.,administrative and legal procedures lack transparency,6,53,negative,en,metadata_label,grp_896e0e4e8dcb
m2_0000017,reviews_metadata_csv,Excellent investment potential with stable market demand and strong resale value.,excellent investment potential with stable market demand and strong resale value,11,80,positive,en,metadata_label,grp_94de22fc40bd
m2_0000018,reviews_metadata_csv,Stable environment with balanced supply and demand.,stable environment with balanced supply and demand,7,50,neutral,en,metadata_label,grp_0563a3dc6e24
m2_0000019,reviews_metadata_csv,"Secure residential area close to schools, shops, and transport.",secure residential area close to schools shops and transport,9,60,positive,en,metadata_label,grp_016615fb9b0b
m2_0000020,reviews_metadata_csv,Prix excessif par rapport aux biens similaires dans les quartiers voisins.,prix excessif par rapport aux biens similaires dans les quartiers voisins,11,73,negative,fr,metadata_label,grp_801e7e795c00
m2_0000021,reviews_metadata_csv,Rendement locatif élevé avec attractivité croissante du quartier.,rendement locatif élevé avec attractivité croissante du quartier,8,64,positive,fr,metadata_label,grp_538b925059fe
m2_0000022,reviews_metadata_csv,High rental yield with increasing neighborhood attractiveness.,high rental yield with increasing neighborhood attractiveness,7,61,positive,en,metadata_label,grp_d1861fc25ce6
m2_0000023,reviews_metadata_csv,Prix excessif par rapport aux biens similaires dans les quartiers voisins.,prix excessif par rapport aux biens similaires dans les quartiers voisins,11,73,negative,fr,metadata_label,grp_801e7e795c00
m2_0000024,reviews_metadata_csv,Excellent investment potential with stable market demand and strong resale value.,excellent investment potential with stable market demand and strong resale value,11,80,positive,en,metadata_label,grp_94de22fc40bd
m2_0000025,reviews_metadata_csv,Infrastructure acceptable mais nécessitant des améliorations.,infrastructure acceptable mais nécessitant des améliorations,6,60,neutral,fr,metadata_label,grp_8138e481cbda
m2_0000026,reviews_metadata_csv,Déficiences d’infrastructure réduisant l’intérêt d’investissement.,déficiences d infrastructure réduisant l intérêt d investissement,8,65,negative,fr,metadata_label,grp_5839f0f5c3a4
m2_0000027,reviews_metadata_csv,"Well-developed infrastructure, good road access, and reliable utilities.",well developed infrastructure good road access and reliable utilities,9,69,positive,en,metadata_label,grp_59435770ed71
m2_0000028,reviews_metadata_csv,Administrative and legal procedures lack transparency.,administrative and legal procedures lack transparency,6,53,negative,en,metadata_label,grp_896e0e4e8dcb
m2_0000029,reviews_metadata_csv,Zone résidentielle moyenne avec une demande modérée et prix stables.,zone résidentielle moyenne avec une demande modérée et prix stables,10,67,neutral,fr,metadata_label,grp_c8cf3b0b3e82
m2_0000030,reviews_metadata_csv,Procédures administratives et juridiques manquant de transparence.,procédures administratives et juridiques manquant de transparence,7,65,negative,fr,metadata_label,grp_3f139ac3e94d
m2_0000031,reviews_metadata_csv,Excellent potentiel d’investissement avec une demande stable et bonne valeur de revente.,excellent potentiel d investissement avec une demande stable et bonne valeur de revente,13,87,positive,fr,metadata_label,grp_d101ba7e8ebd
m2_0000032,reviews_metadata_csv,Zone résidentielle moyenne avec une demande modérée et prix stables.,zone résidentielle moyenne avec une demande modérée et prix stables,10,67,neutral,fr,metadata_label,grp_c8cf3b0b3e82
m2_0000033,reviews_metadata_csv,Infrastructure développée avec bon accès routier et services fiables.,infrastructure développée avec bon accès routier et services fiables,9,68,positive,fr,metadata_label,grp_5168f0b66e0c
m2_0000034,reviews_metadata_csv,Excellent investment potential with stable market demand and strong resale value.,excellent investment potential with stable market demand and strong resale value,11,80,positive,en,metadata_label,grp_94de22fc40bd
